replicate,RZ_ratio,log_RZ_ratio,coupling_advantage
0,0.9970802319,-0.00292403893804,-0.00146308874052
1,0.999615168268,-0.000384905798923,-0.000192471419709
2,0.996698852232,-0.00330660857786,-0.00165467174997
3,0.998250193536,-0.00175133916319,-0.000876053092137
4,0.999246192714,-0.0007540915412,-0.000377116861291
5,0.9961655895,-0.00384178069811,-0.00192273644078
6,0.99550264955,-0.00450749395411,-0.00225628857379
7,0.996235869608,-0.00377123255865,-0.00188739517163
8,0.996561635656,-0.0034442891037,-0.0017236282944
9,0.997213954173,-0.00278993407613,-0.00139594045716
10,0.999033895289,-0.00096657169069,-0.000483402646765
11,0.995281072896,-0.00473009639248,-0.00236784712883
12,0.998481591951,-0.00151956199833,-0.00076006970586
13,0.997105992526,-0.00289820321066,-0.00145015206041
14,0.997290343155,-0.0027133346102,-0.0013575879945
15,0.997351733415,-0.00265177944619,-0.00132676910349
16,0.998281392314,-0.00172008618653,-0.000860413036375
17,0.998712403944,-0.00128842572016,-0.000644420409752
18,0.995336933391,-0.00467397262127,-0.00233971919163
19,0.998489557981,-0.00151158388668,-0.00075607762604
20,0.994851113825,-0.00516218736626,-0.00258442757317
21,0.99914101005,-0.000859359092867,-0.000429771871913
22,0.998187897955,-0.00181374588852,-0.000907284277864
23,0.995715438275,-0.00429376676186,-0.00214918958514
24,0.999504939577,-0.000495183005995,-0.000247622156304
25,0.996006783447,-0.00400121073054,-0.0020026079114
26,1.00027160057,0.00027156369782,0.000135772630972
27,0.999740189311,-0.000259844445688,-0.000129930663102
28,0.996367198618,-0.00363941602963,-0.00182136468818
29,0.995902730225,-0.00410568658371,-0.00205495181722
30,0.998987170399,-0.00101334285989,-0.000506799809594
31,0.997863319359,-0.00213896659984,-0.00107005540112
32,0.995431199858,-0.00457926900804,-0.00229225771879
33,0.999513813519,-0.000486304707813,-0.000243181917836
34,1.00068895091,0.000688713691405,0.000344297561689
35,0.996892995745,-0.00311184101386,-0.00155713157927
36,0.997935631001,-0.00206650274594,-0.00103378536107
37,1.00015289215,0.00015288045906,7.64373080502e-05
38,0.999251013152,-0.000749267478394,-0.00037470392318
39,0.998274626371,-0.00172686380026,-0.00086380476476
40,0.998918838904,-0.00108174597188,-0.000541019284109
41,0.998534592468,-0.00146648229197,-0.000733510032988
42,0.99680323018,-0.00320189040419,-0.00160222739901
43,1.00083900877,0.000838657002434,0.000419240595308
44,0.996372163289,-0.00363443326942,-0.00181886877347
45,0.996544875866,-0.00346110686007,-0.00173205170178
46,0.999937530566,-6.24713854659e-05,-3.12361805723e-05
47,0.99648817762,-0.00351800330375,-0.00176054960277
48,0.999622695924,-0.000377375273454,-0.000188705439359
49,0.997117563597,-0.00288659862248,-0.00144434136897
50,0.995199170159,-0.00481239084129,-0.00240909263213
51,0.998335806628,-0.00166557967975,-0.000833136705618
52,1.00222384854,0.00222137945277,0.00111007313885
53,0.998897382228,-0.00110322610267,-0.00055176521779
54,0.999425047465,-0.000575117883962,-0.000287600291017
